, Am I - BS,Am I - RC,Am I - AH,Am I - BT
Untreated: 5%,0.18325916786860358,0.27937666099183084,0.2969096243561358,0.24045454678342984
Untreated: 10%,0.18144902873247876,0.278529457626405,0.2984302418119044,0.24159127182921186
Untreated: 20%,0.17928867495580111,0.27728953498441494,0.29999837461132944,0.24342341544845453
Untreated: 30%,0.17829715856759193,0.2764388183221902,0.30057895947597785,0.2446850636342401
Untreated: 40%,0.17755987920350969,0.2757289551881085,0.30126971516356715,0.24544145044481464
Untreated: 50%,0.17694440963465627,0.27510940757390484,0.30198156195689335,0.24596462083454546
Untreated: 60%,0.1757565517728174,0.27285912667140233,0.30299548894269784,0.24838883261308237
Untreated: 70%,0.1750139010441989,0.26956030320988583,0.3037276282867485,0.2516981674591667
Untreated: 80%,0.2444194810338357,0.2774977003116257,0.27019736875662326,0.2078854498979154
Untreated: 90%,0.24365776691830277,0.2770905357836358,0.2704059643772635,0.20884573292079794
Untreated: 95%,0.245759817658884,0.28399966526483716,0.26184626034884023,0.20839425672743872
MeOH: 5%,0.2095496461220694,0.2699185427949065,0.27053221912239006,0.2499995919606341
MeOH: 10%,0.207423008207453,0.2707113356245646,0.2713537487388371,0.25051190742914525
MeOH: 20%,0.20422200411879352,0.2719300886525533,0.2728680696213772,0.25097983760727594
MeOH: 30%,0.20258996845450172,0.2724440397460423,0.27362066050603323,0.2513453312934227
MeOH: 40%,0.2014103126481137,0.27282810727170426,0.2741975613398202,0.2515640187403619
MeOH: 50%,0.200419579601059,0.2730922352070726,0.27472138210525554,0.25176680308661287
MeOH: 60%,0.19874623194427005,0.2733968747475707,0.27566858212503076,0.2521883111831285
MeOH: 70%,0.2466137539659426,0.2598067216669227,0.26112787545850147,0.2324516489086334
MeOH: 80%,0.25318762542071677,0.2639474079570597,0.2612308893650334,0.22163407725719014
MeOH: 90%,0.2528062385780194,0.26218310046596144,0.25965369979401076,0.22535696116200837
MeOH: 95%,0.25136730294763754,0.26015397534883766,0.2579104485308026,0.23056827317272224
WA45: 5%,0.18195571259632623,0.2788946540726688,0.2996624875787157,0.23948714575228944
WA45: 10%,0.21991909385805333,0.272612476222161,0.27772073341660053,0.22974769650318522
WA45: 20%,0.24593794278097264,0.2827842723967411,0.26253175724362665,0.20874602757865968
WA45: 30%,0.24634039866123378,0.2833173481889557,0.2626829886562814,0.20765926449352912
WA45: 40%,0.17656624209853103,0.2761816387236091,0.3023648427375308,0.24488727644032898
WA45: 50%,0.21807342833030707,0.27513918895504574,0.27677404682508605,0.23001333588956116
WA45: 60%,0.23487483775204823,0.2798908389377152,0.26861188456689017,0.21662243874334633
WA45: 70%,0.2103102324800571,0.2740666909242205,0.2799108981714513,0.23571217842427114
WA45: 80%,0.175670476534809,0.27015668455395603,0.30286352056884347,0.25130931834239145
WA45: 90%,0.1781134336984551,0.26790663999731956,0.3011141223769219,0.2528658039273034
WA45: 95%,0.1814283026739368,0.2662685992947994,0.2986328384898922,0.2536702595413716
