,Am II -A,Am II -B,Am II -C,Am II -D,Solvent,Am I - BS,Am I - RC,Am I - AH,Am I - BT
Untreated: 5%,1494.271999614044,1517.6950437057071,1539.7641621330088,1559.279972005638,1589.9294915184898,1626.9700080864054,1647.832200327922,1666.7066231669462,1687.4909715868246
Untreated: 10%,1493.7500551936862,1517.7336591318253,1539.8043076528827,1559.2993155794215,1589.6349108936126,1626.5480803983526,1647.3393176063055,1666.1850665096626,1687.0121679359493
Untreated: 20%,1493.0413504672642,1517.7731990050008,1539.8671669385717,1559.3587642765724,1589.333443601253,1626.0244607473703,1646.7235522632193,1665.6286259244303,1686.501479781359
Untreated: 30%,1492.6234482762147,1517.7536076596264,1539.8457625976116,1559.3352888438997,1589.1001891787043,1625.7128348456843,1646.370862924665,1665.3112496412748,1686.2051070172315
Untreated: 40%,1492.339444132646,1517.79771543014,1539.9208690144692,1559.4294636478505,1589.1302554424637,1625.5486169494063,1646.1405006408447,1665.1304718104343,1686.0076148590192
Untreated: 50%,1492.1721200182446,1517.8650907381814,1540.0116157159732,1559.532225735904,1589.2099615976729,1625.4333143192118,1645.9572323428424,1664.8990437731802,1685.7795582100962
Untreated: 60%,1491.779816281568,1518.0223674365807,1540.1967671419754,1559.7306618430823,1589.0808066045684,1625.2073913019847,1645.5891985257792,1664.555916989861,1685.4170333597388
Untreated: 70%,1491.4418081931944,1518.2681425636003,1540.5046409728525,1560.0789821521175,1589.191693954404,1625.088593428525,1645.2682100817726,1664.2461250904496,1685.0375981200914
Untreated: 80%,1516.5233947561417,1537.2727307784235,1555.885544512994,1575.5591754710122,1619.9999999999998,1636.0615134167858,1653.3171663716216,1672.5250442790032,1690.4312450005857
Untreated: 90%,1517.7061472379075,1538.3893534097024,1556.6779000591198,1574.7503297085675,1608.1147796991681,1628.5340474257775,1646.5598536442042,1665.0746547293284,1684.7960332165515
Untreated: 95%,1517.9708093350491,1538.802177947261,1556.8769085181111,1574.1505628288128,1604.9989638560894,1627.505857133051,1647.6854550852834,1665.0874589920343,1684.9842924522172
MeOH: 5%,1493.5515599431048,1515.203000789633,1537.9494435867327,1559.662904904726,1588.619418605049,1624.5283030111627,1647.0224171273271,1669.7045206883206,1692.026856038752
MeOH: 10%,1492.6167586810357,1514.8896247985965,1537.6935250942581,1559.495451847822,1588.3573782920907,1624.2295999206383,1646.745063559654,1669.379676579049,1691.752108508243
MeOH: 20%,1491.4815111354276,1514.677442553506,1537.589446025517,1559.4856276835123,1588.3554610706478,1623.8285053982677,1646.4060381169704,1669.0436663698156,1691.3504724630945
MeOH: 30%,1490.939218627564,1514.5993751847627,1537.5629097089814,1559.5051459255722,1588.4705407433446,1623.6598448348623,1646.2839995743811,1668.9099023630363,1691.143065997111
MeOH: 40%,1490.5631178262133,1514.573883023633,1537.5682910218477,1559.5349410568383,1588.5305777583192,1623.4882284060475,1646.1316934308768,1668.753422601081,1690.9454498415569
MeOH: 50%,1490.2902313821755,1514.5870643729015,1537.6107971913823,1559.5980084154112,1588.6293315228418,1623.3744401940414,1646.0462531957744,1668.6462734959318,1690.7718002629936
MeOH: 60%,1489.9868489586536,1514.7225683652202,1537.7688963577107,1559.7615169837864,1588.7825848488935,1623.277689982628,1645.9787531506556,1668.5083712890312,1690.504250495787
MeOH: 70%,1510.7164670591376,1531.1268791473503,1552.197368869937,1571.820083205497,1619.9999999999998,1630.9568940033307,1654.0304536857036,1677.4332078693124,1695.262595983385
MeOH: 80%,1513.7995047561405,1536.4137702902055,1558.8327916192936,1581.1414464218453,1619.9999999999998,1642.509870942525,1662.5872730884078,1683.0249686096834,1697.5646808686815
MeOH: 90%,1514.7316497601644,1537.1783285514296,1559.4120300554573,1581.2325586456866,1619.9999999999998,1644.1155566882635,1664.2751797902977,1684.101466873267,1698.1887594481987
MeOH: 95%,1515.2571738609956,1537.2645956633908,1559.3740786876187,1581.0842343476427,1619.9999999999998,1645.7409913562437,1665.9986349948388,1685.0731846543163,1698.9265562747496
WA45: 5%,1491.1522603528028,1516.2083095820506,1537.2971410122605,1557.7031455939448,1595.2088500731747,1628.1480890274913,1653.2662646203191,1674.7879128568047,1696.9341544683136
WA45: 10%,1506.7822228364955,1523.7233823618014,1542.2063280747088,1560.8487637583585,1603.1922416146028,1627.6464596302058,1651.8076435002938,1672.2134794598362,1693.7800605367077
WA45: 20%,1490.3615146039065,1516.383899009904,1537.3497470221375,1557.785895950469,1594.7353221241854,1627.7362119992001,1652.3983045641676,1673.4000361651008,1695.7926419033279
WA45: 30%,1512.0956315997705,1531.0941056052404,1549.7862472564193,1566.8310340616174,1606.3285463208783,1626.8409199338753,1649.401576913371,1668.5792884714192,1690.2849043933525
WA45: 40%,1489.9682161695262,1516.5963514854213,1537.5213565996355,1558.000146515741,1594.531340684936,1627.4485142641013,1651.8481602986792,1672.6388993010823,1695.1459329391682
WA45: 50%,1489.8200031537342,1516.735835278096,1537.6498499616189,1558.135509403837,1594.4456256285791,1627.3211620344002,1651.5741787922939,1672.2355140866473,1694.7862692624185
WA45: 60%,1511.7670295023408,1530.0228116637545,1548.6450921993155,1566.2879720825395,1602.1941984464802,1626.751774753736,1649.824781167742,1669.405733961907,1691.0434450461696
WA45: 70%,1489.4708773562081,1517.116985511139,1537.9565689678604,1558.4669151008293,1594.0158592354826,1626.9622936088347,1650.925282660014,1671.3224175879157,1694.0114127474953
WA45: 80%,1489.4413469899366,1517.2692687481042,1538.0634695956146,1558.5660503019399,1593.9748780720581,1626.8474817068388,1650.6824316443522,1670.9655978912656,1693.6922809618454
WA45: 90%,1489.5416051263874,1517.589942828598,1538.348051074869,1558.8824703826276,1594.2593470459958,1626.7101280010802,1650.391192560338,1670.5594641723067,1693.264993255257
WA45: 95%,1489.7599494274746,1517.909560364261,1538.6533079453034,1559.2041950023217,1594.6092301076885,1626.6869903582806,1650.2750473127876,1670.4261935271231,1693.0688508016456
