,Am II -A,Am II -B,Am II -C,Am II -D,Solvent,Am I - BS,Am I - RC,Am I - AH,Am I - BT
Untreated: 5%,1500.549135118085,1520.5755036599448,1543.0689148350818,1564.0652196139715,1615.0000000000002,1635.3548325993545,1653.1181605171682,1672.4638525841942,1691.625473168841
Untreated: 10%,1500.4120622833761,1520.764140866376,1543.3264453408751,1564.4382319086337,1615.0000000000002,1635.4167600603344,1653.0711077425528,1672.3356884229765,1691.3913039297502
Untreated: 20%,1500.0441048979367,1520.9178422057882,1543.6067828852026,1564.853515220947,1615.0000000000002,1635.4250408415435,1652.9616994095118,1672.1794441962459,1691.138909655526
Untreated: 30%,1499.8129204310806,1520.973560794637,1543.7261565967492,1565.037428022809,1615.0000000000002,1635.3375443517516,1652.8221119524108,1671.9978400192604,1690.9022700406026
Untreated: 40%,1499.6283636751966,1521.0496174135942,1543.867484238091,1565.25258063598,1615.0000000000002,1635.2705089811839,1652.7234012364386,1671.918713032418,1690.7911918392128
Untreated: 50%,1499.414904224021,1521.0888416286427,1543.9558409419362,1565.396364749895,1615.0000000000002,1635.2874638736903,1652.7661084559784,1671.951932562741,1690.7374082602812
Untreated: 60%,1515.535125753592,1536.7524704894297,1555.82377676945,1576.7825742633152,1619.9027849396734,1637.1287524532568,1653.622291895359,1672.4645805721996,1690.352323661605
Untreated: 70%,1514.244921851741,1533.6506500175035,1552.0952513298685,1571.5877697470983,1619.9999999999998,1635.7389507882858,1653.1265792963684,1672.4456885020693,1690.489945297209
Untreated: 80%,1516.9666392107679,1538.2299828336552,1557.2165529600272,1577.5408501638103,1619.9999544639654,1636.4426925820294,1653.242060288937,1672.104139292243,1690.0088451755234
Untreated: 90%,1517.9899204458377,1539.2402079497358,1558.3108154318422,1578.4365740824655,1619.9999999999998,1635.855871164649,1653.1374898981776,1672.2869603422987,1690.3687624990491
Untreated: 95%,1517.7726012962603,1538.2279571762629,1556.8137948320739,1576.0830257282382,1619.9999999999998,1630.253526852622,1651.2715951436248,1670.3682905692885,1689.4516116581904
