,Am II -A,Am II -B,Am II -C,Am II -D,Solvent,Am I - BS,Am I - RC,Am I - AH,Am I - BT
Untreated: 5%,1494.2719994092283,1517.6950435951105,1539.7641619759659,1559.2799717768712,1589.9294906361,1626.9700078162757,1647.832200180531,1666.7066230547396,1687.4909715450544
Untreated: 10%,1493.7500551375226,1517.733659119236,1539.804307645749,1559.2993155781164,1589.6349109471832,1626.5480804266992,1647.3393176378756,1666.1850665502482,1687.012167973454
Untreated: 20%,1493.0413503905474,1517.773198952658,1539.8671668491627,1559.3587641402853,1589.3334431024462,1626.0244605593891,1646.7235521405148,1665.6286258177663,1686.5014797197382
Untreated: 30%,1492.623448249429,1517.753607648185,1539.8457625810504,1559.335288817285,1589.1001890682376,1625.712834790481,1646.37086287869,1665.3112495992254,1686.2051070028003
Untreated: 40%,1492.339447569264,1517.7977177158423,1539.9208727576608,1559.4294690894596,1589.1302736242887,1625.5486233382296,1646.1405044709543,1665.1304748581335,1686.0076165661276
Untreated: 50%,1492.1721200465508,1517.865090750516,1540.0116157290763,1559.5322257491105,1589.209961641459,1625.4333143473955,1645.9572323552552,1664.8990437767377,1685.779558207464
Untreated: 60%,1491.779812394278,1518.0223648380734,1540.1967628398797,1559.7306555808946,1589.080785921214,1625.207383714692,1645.5891937469946,1664.5559131780008,1685.4170311659652
Untreated: 70%,1491.4418082333593,1518.2681425762685,1540.5046409829245,1560.078982164074,1589.1916939982536,1625.0885934485445,1645.2682100891036,1664.2461250819508,1685.0375980953793
Untreated: 80%,1516.5233919040165,1537.2727240591687,1555.8855345281943,1575.5591590331105,1619.9999999999998,1636.0615025549369,1653.3171569468536,1672.525034649822,1690.4312385278945
Untreated: 90%,1517.7061443615432,1538.3893487329046,1556.6778903026675,1574.7503170133066,1608.1148168919349,1628.5340597431555,1646.5598623655883,1665.0746629462915,1684.7960395520006
Untreated: 95%,1517.970808860388,1538.8021767370337,1556.8769076966103,1574.1505631488399,1604.998967656797,1627.505858160349,1647.6854560214704,1665.087459908407,1684.98429294343
MeOH: 5%,1493.5515603285687,1515.2030008220843,1537.94944356698,1559.6629048594489,1588.6194182528175,1624.528302974937,1647.022417150999,1669.704520966396,1692.0268561964087
MeOH: 10%,1492.6167586354893,1514.8896247886812,1537.6935250925985,1559.495451844921,1588.3573782878543,1624.2295999264045,1646.7450635790597,1669.379676608564,1691.7521085336618
MeOH: 20%,1491.4815111720077,1514.6774425686028,1537.589446028134,1559.485627664759,1588.35546097,1623.828505376604,1646.4060380965245,1669.0436663576318,1691.3504724535555
MeOH: 30%,1490.9392185470874,1514.5993751564126,1537.5629096813254,1559.5051458956505,1588.470540672269,1623.6598448269926,1646.283999589135,1668.9099023964604,1691.1430660395743
