,BT II,RC II,BS II,AH II,Correction,BS I,RC I,AH I,BT I
Untreated: 5%,0.07611716404887311,0.1160398105128558,0.12332217173794513,0.09987341067829351,0.09132906722982516,0.09418554680299493,0.14953961635858495,0.143206545653399,0.10638666697722851
Untreated: 10%,0.07494586929852395,0.11504405647072048,0.12326389417755679,0.0997870751655266,0.09265427230119702,0.09424396626221145,0.14994119655022803,0.14407466544631867,0.10604500432771705
Untreated: 20%,0.07358951653503933,0.11381423189435003,0.1231351359677762,0.09991379233921788,0.09455692601510421,0.09450926040088083,0.1503262658414869,0.14471873675514793,0.10543613425099659
Untreated: 30%,0.07294137889383376,0.11309113809725947,0.12296687138277076,0.10010067505926812,0.09571100401814489,0.09478243923847524,0.15040354124668057,0.1448400345825682,0.1051629174809991
Untreated: 40%,0.07244831409997202,0.1125034425385463,0.12292462934699094,0.10014548437144846,0.09674689266656934,0.09517136561383095,0.15063290963395393,0.14467615412591045,0.10475080760277754
Untreated: 50%,0.07202164313228174,0.1119777201199366,0.12291548707625152,0.10011492415706888,0.09740231328129553,0.09543578938963922,0.15077352176485292,0.1447607035480816,0.10459789753059204
Untreated: 60%,0.07107969056928883,0.11035004143093514,0.12253783033760404,0.10045372690683267,0.09917848137608573,0.09617458664040109,0.15105800205003597,0.14493633817365495,0.10423130251516163
Untreated: 70%,0.07030671657996461,0.10828796876966326,0.12201369244125346,0.10111237806005549,0.10120497545496969,0.09743737002028974,0.1512422599507852,0.14442378879326556,0.10397084992975304
Untreated: 80%,0.10224822987481351,0.11608587689817285,0.11303190583797489,0.08696489949394967,0.1131961583556937,0.11135632230282982,0.14562207712737046,0.12856033972712452,0.08293419038207053
Untreated: 90%,0.09960521830485937,0.11327224552254503,0.1105396599908242,0.08537431752617278,0.09974100889553954,0.10590576574199205,0.14531619975038393,0.1373503720820197,0.10289521218566335
Untreated: 95%,0.09939855761274112,0.11486482156096334,0.10590477773250012,0.0842859048354678,0.09788021244303292,0.1193177996197939,0.1458156552666287,0.1311411838157373,0.1013910871131347
MeOH: 5%,0.08996477541760088,0.1158826162403681,0.11614608235958138,0.1073309242129605,0.11011023116077123,0.11180530837225705,0.11909780347495372,0.11843946961167043,0.11122278914983688
MeOH: 10%,0.08875596628175687,0.11583693809351689,0.11611182563201901,0.10719363583730977,0.11178105598656587,0.1116277601266849,0.11909290914889968,0.11823374665517852,0.11136616223806839
MeOH: 20%,0.0869713607512519,0.11580598258015214,0.11620543753294763,0.10688396733167335,0.11443894316483474,0.11142524161722221,0.119258819578447,0.11814265396836718,0.1108675934751038
MeOH: 30%,0.08608826075396984,0.11577193918165907,0.11627193055832662,0.10680628747762745,0.1158094860880179,0.1113405775927977,0.11937379328760821,0.11802253277706048,0.11051519228293276
MeOH: 40%,0.08543689109868541,0.11573183609912653,0.1163127492300507,0.10671175369244261,0.11688513122232212,0.11122619738756452,0.11945649142100748,0.1179588467114726,0.11028010313732817
MeOH: 50%,0.08488915823016498,0.11567018556594968,0.11636022246502171,0.10663764496670751,0.1178073416517936,0.11119323507634277,0.11955720138744441,0.11786498558672137,0.1100200250698541
MeOH: 60%,0.08397891483048593,0.1155220534749769,0.11648194849734357,0.1065605142925927,0.11902808433065891,0.1112354446694872,0.11982596672137208,0.1177639684867168,0.10960310469636586
MeOH: 70%,0.10856450733257303,0.11437232629075954,0.11495392572820722,0.10233005407392136,0.13306343205675134,0.09909470441622256,0.11601864719926157,0.11999613442186305,0.09160626848044046
MeOH: 80%,0.11268808985195992,0.11747702149471659,0.11626795124359363,0.09864428125911238,0.12723974085246256,0.1112501344485541,0.11827872322688811,0.11043431616177536,0.08771974146093742
MeOH: 90%,0.11215027698645372,0.11631006908257929,0.11518803997893465,0.09997341822367252,0.13185389404487696,0.11065849011383856,0.11672335785061627,0.1083135586415514,0.08882889507747672
MeOH: 95%,0.11085711442151215,0.11473219240684507,0.11374274601443786,0.10168436918871718,0.13444617821463445,0.11037394535449276,0.11504275868365807,0.10612144589630802,0.09299924981939467
WA45: 5%,0.0750852763203065,0.11508781303170904,0.12365786487999897,0.09882612660953952,0.09274330486679103,0.14637465281649092,0.15074822054934336,0.11744003464948226,0.08003670627633853
WA45: 10%,0.092514154569824,0.11472792251412813,0.11690512876928416,0.09671252394191315,0.08829565929853393,0.13905833234480744,0.14548798888009434,0.11943365392795248,0.08686463575346248
WA45: 20%,0.0729338467502845,0.11348076577817824,0.12322129236279275,0.09912505767954105,0.0967390494271699,0.14763434055869482,0.15011276912294483,0.11727053230526843,0.07948234601512552
