,Spacer,Am I - BS,Am I -RC,Am I -AH,Am I -BT/Solvent
Untreated: 5%,1603.1412926763487,1625.528578826448,1645.1462776425278,1661.1491252518247,1678.6225799339365
Untreated: 10%,1602.6250919681622,1624.9251402610391,1644.4768717318855,1660.486469546534,1677.9318773718767
Untreated: 20%,1602.0416099009858,1624.2552232610465,1643.7426630875125,1659.847491488494,1677.255962213286
Untreated: 30%,1601.7210335811997,1623.8865161048984,1643.3255772008147,1659.4629734455618,1676.851666759258
Untreated: 40%,1601.7101175712241,1623.8417340152196,1643.194128291139,1659.3617052200461,1676.7223488349005
Untreated: 50%,1601.180828484107,1623.296228650805,1642.623950409816,1658.7447211889153,1676.0239831588017
Untreated: 60%,1600.9060065032602,1623.0754552521164,1642.2721583859673,1658.4327200274292,1675.682683676962
Untreated: 70%,1600.0000000000002,1622.2748984748873,1641.3339021637357,1657.4599360829015,1674.4602024007377
Untreated: 80%,1600.0000000000002,1622.1819931395087,1640.8718304490426,1657.1225572411831,1673.963751054707
Untreated: 90%,1600.0000000000002,1621.7933324126266,1639.9470361435597,1655.9761985466223,1672.0930173510794
Untreated: 95%,1600.0063545169194,1621.8360124913245,1638.3629481601174,1654.5480873781528,1669.656022683467
MeOH: 5%,1604.1968219827822,1625.9474487135508,1647.4535788406074,1667.982926307866,1691.2678880476303
MeOH: 10%,1604.2744932762946,1625.9046570059575,1647.4395328418593,1667.9950184157206,1691.1449476895505
MeOH: 20%,1604.3362686288665,1625.7470334737754,1647.261681720517,1667.7575482292873,1690.6439069618464
MeOH: 30%,1604.4278254415751,1625.7227479793098,1647.244207819467,1667.7007673988146,1690.395450370716
MeOH: 40%,1604.4246914934854,1625.6255935281076,1647.1244687108817,1667.5319130953758,1690.10909328873
MeOH: 50%,1604.4942491427619,1625.614287903621,1647.1129414163922,1667.473982379109,1689.8987252284226
MeOH: 60%,1604.500326905492,1625.5545754979262,1647.0592662116858,1667.3007262937404,1689.4858532016729
MeOH: 70%,1604.3956533041635,1625.3766303054583,1646.8663477454634,1666.8294610587252,1688.5639346229498
MeOH: 80%,1604.0158921275274,1625.0310566002333,1646.5061931414189,1666.1808979675225,1687.6751113024513
MeOH: 90%,1604.0175580023,1624.7179385811105,1646.2167768725396,1665.5695984127344,1687.193995365146
MeOH: 95%,1604.763537845755,1625.2427281257749,1647.130163726297,1667.2933685281664,1689.3747492913158
WA45: 5%,1601.9674072064286,1627.2779009650083,1652.0815938025266,1672.4989313201343,1695.768223424792
WA45: 10%,1601.7040129540944,1627.1647869718743,1651.7454565612181,1671.925042802042,1695.233674569399
WA45: 20%,1600.9579752814716,1627.1452852155155,1651.4840434609162,1671.5575351903092,1694.8239819791622
WA45: 30%,1601.0100323046481,1627.021307895237,1651.2420168995197,1671.227161233385,1694.497496078397
WA45: 40%,1601.007322544487,1626.8857865537238,1650.9815545348208,1670.8768540241008,1694.1493960479993
WA45: 50%,1601.0223387051133,1626.7701815655164,1650.7268197330445,1670.5030985404987,1693.7679439205458
WA45: 60%,1600.9465439113617,1626.583583722852,1650.3750727000718,1669.9901467446746,1693.2647255793788
WA45: 70%,1600.9202238204641,1626.4428776152095,1650.1399642116564,1669.6943397618627,1692.9730107069101
WA45: 80%,1600.8579639352183,1626.3248541087319,1649.8916081758111,1669.328228314038,1692.6105136840383
WA45: 90%,1600.9541654274594,1626.188131855083,1649.5846789560737,1668.85616913461,1692.066560824952
WA45: 95%,1601.039010507455,1626.1469265508429,1649.4239806608753,1668.5945519720688,1691.7127587781017
