,Spacer,Am I - BS,Am I -RC,Am I -AH,Am I -BT,Am I - End Peak
Untreated: 5%,1600,1622.331485,1642.198822,1658.399657,1675.86629,1694.241597
Untreated: 10%,1600,1622.21309,1641.971823,1658.230301,1675.603431,1693.808517
Untreated: 20%,1600,1622.00616,1641.591243,1657.89827,1675.140035,1693.208753
Untreated: 30%,1600,1621.851547,1641.340502,1657.704133,1674.911841,1692.893714
Untreated: 40%,1600,1621.501232,1640.865192,1657.296086,1674.505728,1692.537682
Untreated: 50%,1600,1620.924468,1640.168481,1656.804722,1674.156293,1692.24408
Untreated: 60%,1600,1620.747401,1639.779877,1656.481833,1673.766417,1691.763595
Untreated: 70%,1600.010944,1621.318488,1640.154639,1656.69546,1673.863716,1691.546696
Untreated: 80%,1600,1621.448253,1640.066877,1656.894212,1674.102558,1691.555987
Untreated: 90%,1600,1621.922998,1640.449048,1657.502198,1675.129622,1692.529704
Untreated: 95%,1600.003788,1621.091586,1637.967588,1655.843632,1674.704831,1693.486788
MeOH: 5%,1600.044509,1621.033183,1639.05637,1657.279497,1676.605025,1696.756783
MeOH: 10%,1600,1622.184095,1641.625335,1659.706979,1678.479503,1697.61582
MeOH: 20%,1600.611983,1622.323176,1641.982729,1660.179342,1678.921955,1697.564404
MeOH: 30%,1600.148095,1621.792536,1641.156452,1659.147602,1677.869306,1696.721819
MeOH: 40%,1600.030063,1621.410473,1640.426229,1657.908875,1676.683984,1696.023871
MeOH: 50%,1600.000055,1620.401404,1638.536392,1656.657093,1676.052905,1695.577723
MeOH: 60%,1600,1617.770395,1633.695278,1653.804509,1674.416274,1694.581441
MeOH: 70%,1600,1617.20833,1632.632694,1653.134718,1673.943649,1693.9616
MeOH: 80%,1600,1616.923892,1632.019272,1652.762402,1673.716092,1693.620085
MeOH: 90%,1600.000587,1619.939049,1637.96031,1655.540679,1675.255182,1694.589689
MeOH: 95%,1600,1616.944903,1632.626993,1653.321302,1674.569166,1695.317175
WA45: 5%,1605.716767,1625.631537,1643.718883,1660.901357,1681.159153,1700.426208
WA45: 10%,1606.249978,1625.26977,1642.388134,1660.191086,1680.645709,1700.097129
WA45: 20%,1605.790454,1624.993217,1642.095652,1660.009045,1680.496574,1699.874681
WA45: 30%,1605.490662,1624.836023,1641.938675,1659.871585,1680.358978,1699.720034
WA45: 40%,1605.201157,1624.672029,1641.767574,1659.745628,1680.237502,1699.559073
WA45: 50%,1604.893741,1624.568612,1641.766004,1659.745189,1680.237503,1699.458182
WA45: 60%,1603.913562,1624.274468,1641.905255,1659.792696,1680.258384,1699.368394
WA45: 70%,1602.911071,1624.164823,1642.689125,1660.192401,1680.525567,1699.370782
WA45: 80%,1602.953968,1624.022044,1642.302425,1660.001135,1680.392743,1699.252797
WA45: 90%,1602.542788,1623.890259,1642.379268,1659.997338,1680.366439,1699.198437
WA45: 95%,1602.282781,1623.891796,1642.545077,1660.000505,1680.273725,1699.139094
