,BT II,RC II,BS II,AH II,Correction,BS I,RC I,AH I,BT I
Untreated: 5%,1494.2719995421403,1517.695043669972,1539.7641620849663,1559.2799719374602,1589.9294912615455,1626.9700080058674,1647.8322002734712,1666.7066231157962,1687.4909715638546
Untreated: 10%,1493.7500551285175,1517.7336591084093,1539.8043076301963,1559.2993155657705,1589.6349109437065,1626.5480804228696,1647.3393176205677,1666.1850665250215,1687.0121679574224
Untreated: 20%,1493.0413504074095,1517.7731989499728,1539.8671668422744,1559.3587641279385,1589.3334430631544,1626.024460539675,1646.723552111756,1665.6286257736745,1686.5014796744745
Untreated: 30%,1492.623448279901,1517.7536076609297,1539.845762594234,1559.3352888302136,1589.1001891111698,1625.712834805386,1646.3708628898587,1665.3112496058245,1686.2051069943952
Untreated: 40%,1492.3394475440925,1517.797717712528,1539.9208727555413,1559.4294690881786,1589.1302736373598,1625.5486233301572,1646.140504469466,1665.13047486667,1686.007616584604
Untreated: 50%,1492.172120042606,1517.8650907470271,1540.0116157292152,1559.5322257475107,1589.2099615933498,1625.4333143281299,1645.957232345695,1664.8990437677744,1685.7795581964524
Untreated: 60%,1491.7798165932609,1518.0223676411342,1540.1967674912944,1559.7306623673169,1589.0808083397276,1625.2073919241507,1645.589198923985,1664.5559173156007,1685.4170335462916
Untreated: 70%,1491.4418082470381,1518.2681425882477,1540.5046410025266,1560.0789821843955,1589.1916940316933,1625.0885934488706,1645.2682100864965,1664.2461250776776,1685.0375980894123
Untreated: 80%,1516.5233934912471,1537.2727278327545,1555.8855401647877,1575.5591683695259,1619.9999999999998,1636.061508618237,1653.317162121346,1672.5250398714036,1690.4312420207893
Untreated: 90%,1517.7061463067132,1538.3893518051568,1556.6778966434733,1574.750325325736,1608.1147925593648,1628.534051641117,1646.5598565920313,1665.0746574566929,1684.7960352934579
Untreated: 95%,1517.970808864391,1538.8021768088877,1556.8769075991136,1574.1505628774366,1604.998967891726,1627.5058580336536,1647.6854558766674,1665.0874597128263,1684.9842928210319
MeOH: 5%,1493.5515605807957,1515.2030009597536,1537.949443683869,1559.662904953548,1588.6194185236,1624.5283030744567,1647.022417299504,1669.7045211780958,1692.026856338471
MeOH: 10%,1492.6167586172894,1514.8896247729379,1537.6935250818724,1559.495451844879,1588.3573783035024,1624.2295999229743,1646.7450635661767,1669.3796765883599,1691.752108518252
MeOH: 20%,1491.48151110187,1514.6774425332474,1537.5894459881208,1559.485627634925,1588.3554609510836,1623.8285053808245,1646.406038112912,1669.043666380102,1691.3504724776456
MeOH: 30%,1490.939218638034,1514.5993751814851,1537.5629097060819,1559.5051459284591,1588.4705407399206,1623.6598448275859,1646.2839995680022,1668.9099023585352,1691.1430659892158
