,Spacer,Am I - BS,Am I -RC,Am I -AH,Am I -BT,Am I - End Peak
Untreated: 5%,0.10543028339356703,0.1355617271976861,0.18995359817507648,0.21518266109137804,0.1386890690509143,0.21518266109137804
Untreated: 10%,0.10508432701678648,0.13592527249619313,0.19127236394147074,0.21528860383329287,0.13714082887896398,0.21528860383329287
Untreated: 20%,0.11364979497864924,0.14783053339497376,0.20815031361936104,0.14701716026895584,0.19167609886903003,0.19167609886903003
Untreated: 30%,0.10551493922422392,0.1373063093105468,0.19349963845470097,0.2140582875359367,0.13556253793865483,0.2140582875359367
Untreated: 40%,0.10607167194289033,0.13651793325380368,0.19376022378113206,0.21393621174531458,0.13577774753154476,0.21393621174531458
Untreated: 50%,0.10759530838501496,0.13979114325520137,0.19557949185383178,0.21149855233215276,0.13403695184164643,0.21149855233215276
Untreated: 60%,0.10663043762140129,0.1373762261399425,0.19490434612784593,0.21331675427255506,0.13445548156570014,0.21331675427255506
Untreated: 70%,0.10792854156798626,0.1349419454756454,0.19503520574845373,0.21381695059993333,0.13446040600804804,0.21381695059993333
Untreated: 80%,0.11010840647787817,0.13805057973047477,0.19725077479188613,0.21008997173795857,0.1344102955238438,0.21008997173795857
Untreated: 90%,0.11163728359683939,0.15177801685613282,0.19728986168143822,0.20438447273148672,0.13052589240261617,0.20438447273148672
Untreated: 95%,0.11248667821107587,0.15098169025121957,0.18397363998620267,0.21225249251135198,0.12805300652879792,0.21225249251135198
MeOH: 5%,0.12833754008909098,0.1729388993793867,0.17526218937786525,0.17356097718337096,0.17356097718337096,0.1763394167869151
MeOH: 10%,0.1313558734606364,0.17649072411097402,0.17851661160040114,0.17643380386668478,0.16076918309461888,0.17643380386668478
MeOH: 20%,0.13130958366171885,0.17602534259820599,0.17723921808595455,0.176397156774204,0.16263154210571248,0.176397156774204
MeOH: 30%,0.13171277996237638,0.17352535474555478,0.17707078909698382,0.17706653911921041,0.16355799795666412,0.17706653911921041
MeOH: 40%,0.13133432590148536,0.170362909138523,0.17628099962118282,0.1631150199670381,0.17945337268588532,0.17945337268588532
MeOH: 50%,0.13024817395505875,0.16672319129350743,0.17420502810102423,0.17547923555143047,0.17547923555143047,0.17786513554754857
MeOH: 60%,0.13328735972164174,0.17665808437726846,0.17629082415086328,0.1767838336180635,0.1601960645140996,0.1767838336180635
MeOH: 70%,0.12998939165459716,0.15990484129618973,0.1780646839980523,0.17955849071584015,0.17624129616766032,0.17624129616766032
MeOH: 80%,0.1363197767093572,0.14172180617936586,0.18478959120324018,0.18618625778474507,0.1647963103385466,0.18618625778474507
MeOH: 90%,0.14088546485444642,0.14687228934690252,0.18192675098267153,0.18298438939414735,0.16434671602768477,0.18298438939414735
MeOH: 95%,0.14780701213367953,0.1544523879234987,0.17750469783476222,0.17811885204865263,0.16399819801075427,0.17811885204865263
WA45: 5%,0.1181874372049534,0.18025932567284372,0.19047743936250477,0.19691276396305452,0.11725026983358924,0.19691276396305452
WA45: 10%,0.11983154712538079,0.1727857393930158,0.19063532808106146,0.20036880906080778,0.11600976727892648,0.20036880906080778
WA45: 20%,0.11956573149196202,0.17373266031374424,0.19159858181799772,0.200252977699576,0.11459707097714411,0.200252977699576
WA45: 30%,0.1193993697247489,0.1745717657975603,0.19186091960486532,0.20005902741267392,0.11404989004747762,0.20005902741267392
WA45: 40%,0.1194202215104818,0.17533105162981646,0.19229055653004715,0.19977433510129378,0.11340950012706708,0.19977433510129378
WA45: 50%,0.11934733355183404,0.1768433206739691,0.19279507792619696,0.19911133562078348,0.11279159660643279,0.19911133562078348
WA45: 60%,0.11658677859751283,0.18276948731845927,0.1928494960114231,0.1978236124598315,0.11214701315294166,0.1978236124598315
WA45: 70%,0.11378647347581881,0.1923482719957139,0.19246078433507727,0.1947101306519651,0.11198420888945994,0.1947101306519651
WA45: 80%,0.11539262335596731,0.19025805654132477,0.19242060440110748,0.19465013424551478,0.11262844721057079,0.19465013424551478
WA45: 90%,0.11667047029506347,0.1927442784676601,0.19085069974921942,0.19253111655221886,0.1146723183836192,0.19253111655221886
WA45: 95%,0.1188016389945965,0.1939522945794514,0.1891243830595127,0.1902475202124358,0.11762664294156769,0.1902475202124358
