,BT II,RC II,BS II,AH II,Correction,BS I,RC I,AH I,BT I
Untreated: 5%,0.07611716374884009,0.11603981018071736,0.12332217128172598,0.09987341079625633,0.09132906753292826,0.09418554638564025,0.14953961604871582,0.143206546555184,0.10638666746999197
Untreated: 10%,0.07494586923054133,0.11504405646219606,0.12326389417956173,0.09978707516498987,0.0926542723801523,0.09424396625510409,0.1499411966075918,0.14407466546346664,0.10604500425639624
Untreated: 20%,0.07358951660584735,0.11381423193521481,0.12313513599497575,0.09991379238035643,0.09455692593243595,0.09450926043765052,0.1503262656714171,0.1447187367107041,0.10543613433139801
Untreated: 30%,0.07294137886617244,0.1130911381285456,0.12296687139729415,0.10010067502622016,0.09571100405017188,0.09478243924172032,0.1504035412718731,0.14484003458235367,0.10516291743564847
Untreated: 40%,0.0724483141243845,0.11250344252016557,0.12292462932317845,0.10014548438537402,0.096746892663448,0.09517136558373801,0.1506329095321366,0.1446761541699138,0.104750807697661
Untreated: 50%,0.07202164320462676,0.11197772018720782,0.12291548711464785,0.10011492415868305,0.09740231321349672,0.09543578948126628,0.15077352171084207,0.14476070341466069,0.10459789751456883
Untreated: 60%,0.07107968828227516,0.11035003497423906,0.12253782073059791,0.10045372811609403,0.09917848621911862,0.0961745794723733,0.15105799794581157,0.14493635253865808,0.1042313117208323
Untreated: 70%,0.07030671659202067,0.10828796877734125,0.12201369244358025,0.10111237810079927,0.10120497541901315,0.09743737001621018,0.15124225994202656,0.1444237887634589,0.10397084994554981
Untreated: 80%,0.10224822197704697,0.1160858635764355,0.11303190837867591,0.08696490693944949,0.11319617433356831,0.11135629054527235,0.1456220708980195,0.1285603556752819,0.0829342076762502
Untreated: 90%,0.09960521207463614,0.11327224178624869,0.11053964799394704,0.08537434010536095,0.09974105006892654,0.10590575360116794,0.14531619607243335,0.1373503639011326,0.10289519439614686
Untreated: 95%,0.09939855696179827,0.1148648201619629,0.10590477789718322,0.08428590594835517,0.09788021767613125,0.1193177970254052,0.14581565560178042,0.13114118223788776,0.10139108648949573
MeOH: 5%,0.08996460663428958,0.11588260416261231,0.11614606568705885,0.10733087729699553,0.11011037812687004,0.11180525861664443,0.11909776603843507,0.11843938832826147,0.11122305510883271
MeOH: 10%,0.0887559661951351,0.11583693811856566,0.1161118256573209,0.10719363582308827,0.11178105604502632,0.11162776012537459,0.11909290915913504,0.11823374666836764,0.11136616220798658
MeOH: 20%,0.08697136062405088,0.11580598255165403,0.11620543749123469,0.10688396726621918,0.11443894334552751,0.11142524164220638,0.11925881963757362,0.11814265403257677,0.11086759340895704
MeOH: 30%,0.0860882599850801,0.11577193883783193,0.11627193036965022,0.1068062873718093,0.11580948683462662,0.1113405777220024,0.11937379350225825,0.11802253302070462,0.11051519235603652
MeOH: 40%,0.08543689108533517,0.11573183613395965,0.11631274923313877,0.10671175371254357,0.11688513125169142,0.11122619736370312,0.1194564914155683,0.1179588466895394,0.11028010311452054
MeOH: 50%,0.0848891581841256,0.11567018556516684,0.11636022248243244,0.10663764496393793,0.11780734175084058,0.11119323501449954,0.11955720140153153,0.11786498562742295,0.1100200250100425
MeOH: 60%,0.08397891484653378,0.11552205347703656,0.11648194851474801,0.10656051431893097,0.11902808429796335,0.11123544466292738,0.11982596667554958,0.11776396850277113,0.10960310470353933
MeOH: 70%,0.10856450737015656,0.11437232627078774,0.11495392567213727,0.10233005410391216,0.13306343218083963,0.09909470439734656,0.11601864719753405,0.11999613442111572,0.0916062683861702
MeOH: 80%,0.11268796532008797,0.11747689362400988,0.116267874656949,0.09864436230023332,0.12724021202308017,0.111248764871415,0.11827854954468835,0.1104353756082139,0.08772000205132235
MeOH: 90%,0.11215046899638638,0.11631024341120008,0.11518814688062992,0.09997333044337,0.1318531319440314,0.11066083126102365,0.1167247095500845,0.1083094660082213,0.08882967150505262
MeOH: 95%,0.11085709002058312,0.11473216226078836,0.11374274125765915,0.10168440902907415,0.13444617417427612,0.1103740091686031,0.1150435560692824,0.10611952687419757,0.09300033114553596
WA45: 5%,0.07508527431103447,0.11508781283199959,0.12365786526072604,0.09882612530547774,0.0927433067456491,0.14637465356299825,0.15074822146968228,0.11744003430109191,0.0800367062113406
WA45: 10%,0.09253987454401058,0.11472932415709451,0.11689191268907624,0.09670211785543802,0.08829717085243419,0.1390472066708853,0.14548467540369767,0.11943736849506648,0.0868703493322971
WA45: 20%,0.0924258981571723,0.1150442754772654,0.11633699624826618,0.09626870204907795,0.08835186245230994,0.14139640055672917,0.1455635155159853,0.11887207203520647,0.08574027750798734
WA45: 30%,0.10387668110508527,0.1194692045323146,0.11076716713198596,0.08756510076296496,0.08940991740188384,0.13386362949602199,0.14197068108586083,0.1223272574803052,0.09075036100357729
WA45: 40%,0.07176738112060137,0.11225720071873309,0.12289966106829374,0.09953724553743072,0.09953115487127553,0.14823090372619915,0.14965709675206426,0.11706487508693103,0.07905448111847116
WA45: 50%,0.07129083500494074,0.11166683167082507,0.12270185644900075,0.09966616143812253,0.10088697239453692,0.14846125556081147,0.14926689527591464,0.11699106186668841,0.07906813033915944
WA45: 60%,0.0983656163084237,0.11721833897376424,0.1124947250436708,0.09072154732266655,0.09017086187856183,0.14082928932243816,0.14318560869977282,0.12015990765510862,0.0868541047955932
WA45: 70%,0.0703709473359086,0.10912334235351956,0.1219794970201575,0.10054896868470305,0.10441395862507513,0.14899284984640582,0.14828435529842512,0.11684337409734376,0.07944270673846157
WA45: 80%,0.07042008859883814,0.10829627264293841,0.12140728785982531,0.10074102843983943,0.1057446226461109,0.14891492770927237,0.14732797413316057,0.11696377184978031,0.08018402612023451
WA45: 90%,0.07114124462967317,0.10700603145840872,0.12026961020799577,0.10099849042747694,0.10774152397518387,0.1480450998427477,0.14566983778013304,0.1171553948554998,0.0819727668228809
WA45: 95%,0.07231503478244557,0.10613131066577762,0.11903129010180784,0.10110977010565485,0.10895440020554792,0.14690235219299183,0.14443431403933715,0.1173312614222813,0.08379026648415597
