,Spacer,Am I - BS,Am I -RC,Am I -AH,Am I -BT,Am I - End Peak
Untreated: 5%,1600.0000000000002,1622.3314647065063,1642.1987896208318,1658.3996182837066,1675.866254266048,1694.2415770614691
Untreated: 10%,1600.0000000000002,1622.2131016103708,1641.9718406115737,1658.2303231819894,1675.6034519441093,1693.8085286985154
Untreated: 20%,1600.0000000000002,1622.0061633722794,1641.5912478820117,1657.8982764357731,1675.1400416780168,1693.208756303028
Untreated: 30%,1600.0000000000002,1621.8515606958938,1641.340516230981,1657.7041425432305,1674.9118476603676,1692.893717513902
Untreated: 40%,1600.0000000000002,1621.5010752226221,1640.8650268720587,1657.2959668921399,1674.5056450153438,1692.5376449848159
Untreated: 50%,1600.0120482679552,1621.7234157805317,1641.0105876620075,1657.3697819029805,1674.5397227081876,1692.411672397116
Untreated: 60%,1600.0098388880483,1621.6780218469764,1640.7721822927613,1657.155679134271,1674.22642291581,1691.9657823405198
Untreated: 70%,1600.0000000000002,1620.0467452630078,1638.7478907989923,1655.7316970374927,1673.1959029700683,1691.2483067894473
Untreated: 80%,1600.0149231946568,1621.890349110344,1640.5608372073373,1657.3005661979748,1674.4274693896903,1691.7183268252172
Untreated: 90%,1600.0000000000002,1621.9232812423015,1640.4493551835517,1657.502418890088,1675.1297961260864,1692.5298021052427
Untreated: 95%,1600.0030016702779,1621.0494215295844,1637.9049745142459,1655.8148113833154,1674.6833963426266,1693.474550136394
MeOH: 5%,1600.0000000000002,1622.3837074877076,1641.9368615237165,1660.1983437415959,1679.0108802546433,1698.0540701477219
MeOH: 10%,1600.008929630696,1622.2505088653852,1641.8088134169038,1659.9810882172485,1678.7668890125383,1697.7877980231815
MeOH: 20%,1600.0000000000002,1621.8212408222362,1641.1082589181906,1659.0294280087678,1677.874225281132,1696.9973921908595
MeOH: 30%,1600.1519469883872,1621.7948317218147,1641.1589461740177,1659.1495833311433,1677.8721126784383,1696.7243781690781
MeOH: 40%,1600.000048721743,1620.65317693695,1638.9935928996226,1657.1096705091786,1676.3903605860953,1695.8835458883402
MeOH: 50%,1600.0008981370847,1621.293382704073,1640.270259382474,1657.8721493843161,1676.8572177205897,1696.015186890988
MeOH: 60%,1600.5642064738615,1621.6062811041038,1640.711475456827,1658.2742876737557,1677.2082517017238,1696.0149295665137
MeOH: 70%,1600.00000140887,1617.2407573107298,1632.6969645579134,1653.1677903369887,1673.9608942699629,1693.968885356118
MeOH: 80%,1600.0000000000366,1616.923874044942,1632.0192342082087,1652.7623766516497,1673.716075290657,1693.6200763060058
MeOH: 90%,1600.0000000000348,1616.8584394994098,1632.2110199678839,1653.0411579030647,1674.1864878500683,1694.1869893599776
MeOH: 95%,1600.000000093235,1617.5041281914707,1633.7540867948926,1653.8499024958273,1674.8147468399377,1695.4175614828341
WA45: 5%,1605.7170323904063,1625.6315377933174,1643.7186441118647,1660.9011952236408,1681.159035846037,1700.4261681115004
WA45: 10%,1606.2499976829745,1625.2697611462524,1642.3880894944236,1660.1910553390132,1680.645681965139,1700.0971181826783
WA45: 20%,1605.6470743147017,1625.0489292029374,1642.35861970121,1660.1782689733568,1680.6192315724388,1699.9204628094574
WA45: 30%,1605.4904635891976,1624.8361115389882,1641.9390854384567,1659.871862440679,1680.3592199937814,1699.7201292737789
WA45: 40%,1605.2011361661248,1624.6720381569505,1641.7676156933683,1659.7456566805665,1680.237526710243,1699.559082607599
WA45: 50%,1604.8938028803898,1624.56857397507,1641.7658472348753,1659.7450789264462,1680.237402734307,1699.4581429605971
WA45: 60%,1603.9136396429271,1624.2744663100884,1641.9051736069623,1659.7926472407974,1680.25834576007,1699.3683806565994
WA45: 70%,1602.9108285781017,1624.1648931269137,1642.6895792773369,1660.192694105915,1680.5257998666907,1699.3708611917725
WA45: 80%,1602.9540235246056,1624.0220315580107,1642.3023328517781,1660.0010774722957,1680.392696586029,1699.2527806827457
WA45: 90%,1602.5429151489275,1623.8902136110516,1642.3790112575732,1659.9971751064202,1680.3663078689933,1699.1983915545497
WA45: 95%,1602.2827790981992,1623.8917973677053,1642.545081757422,1660.0005081884424,1680.273727647715,1699.1390954572284
