,BT II,RC II,BS II,AH II,Correction,BS I,RC I,AH I,BT I
Untreated: 5%,1494.2719992200225,1517.6950434662465,1539.7641617749691,1559.2799714836274,1589.9294895442486,1626.970007463004,1647.8321999670486,1666.7066228690765,1687.4909714400467
Untreated: 10%,1493.7500551602352,1517.733659124078,1539.8043076454787,1559.2993155756365,1589.634910953233,1626.5480804409863,1647.339317644064,1666.1850665524798,1687.0121679722133
Untreated: 20%,1493.0413505259012,1517.7731990287612,1539.8671669676826,1559.3587643077517,1589.3334436696193,1626.0244607575582,1646.7235522515189,1665.6286258945047,1686.5014797430645
Untreated: 30%,1492.6234482744228,1517.7536076617369,1539.8457626009633,1559.3352888423547,1589.1001891398018,1625.7128348267493,1646.3708629134362,1665.3112496322929,1686.2051070142204
Untreated: 40%,1492.3394475729256,1517.797717719866,1539.9208727625926,1559.429469096678,1589.130273661992,1625.5486233578572,1646.1405044957608,1665.1304748859995,1686.0076165833443
Untreated: 50%,1492.1721200419827,1517.8650907514818,1540.0116157320588,1559.532225749662,1589.209961613278,1625.4333143407534,1645.9572323633497,1664.8990437902005,1685.779558218366
Untreated: 60%,1491.7798163504372,1518.0223674793322,1540.1967672160708,1559.7306619525655,1589.0808069428288,1625.207391422673,1645.589198605534,1664.5559170580123,1685.417033396929
Untreated: 70%,1491.4418082292088,1518.2681425827172,1540.504640999269,1560.0789821913004,1589.1916940964204,1625.0885934808566,1645.2682101170667,1664.2461251136301,1685.0375981218506
Untreated: 80%,1516.5233954425858,1537.2727323782342,1555.885546884052,1575.5591793830647,1619.9999999999998,1636.0615160358634,1653.3171686324863,1672.5250465887916,1690.431246543757
Untreated: 90%,1517.7061453527865,1538.389350382645,1556.6778935903785,1574.750321125119,1608.114804744128,1628.5340554068698,1646.5598591372848,1665.0746597453053,1684.7960370138446
Untreated: 95%,1517.9708091278558,1538.8021776053624,1556.8769079574774,1574.1505617990529,1604.998965916318,1627.5058576383708,1647.685455413586,1665.0874592388966,1684.9842925817636
MeOH: 5%,1493.5515600463655,1515.2030008255356,1537.9494436136763,1559.6629049173423,1588.6194185733095,1624.528303020745,1647.0224171726913,1669.7045208152392,1692.0268561357545
MeOH: 10%,1492.6167586485408,1514.889624799684,1537.6935251088482,1559.4954518622383,1588.3573783160807,1624.2295999299586,1646.745063571796,1669.3796765915504,1691.7521085249552
MeOH: 20%,1491.4815110957943,1514.677442532165,1537.5894459907859,1559.485627644681,1588.3554609990385,1623.828505389485,1646.4060381157983,1669.043666381194,1691.3504724809616
MeOH: 30%,1490.939217792254,1514.599374703104,1537.5629091478363,1559.5051453946803,1588.4705395960073,1623.6598445926788,1646.2839994058136,1668.9099023080105,1691.1430660440753
MeOH: 40%,1490.5631178433737,1514.5738830353782,1537.5682910317498,1559.5349410584902,1588.5305777447522,1623.488228396227,1646.131693417048,1668.753422594748,1690.9454498409282
MeOH: 50%,1490.290231394332,1514.5870643757219,1537.610797188252,1559.598008407624,1588.6293315144294,1623.3744401903045,1646.0462531924045,1668.646273503159,1690.7718002660938
MeOH: 60%,1489.9868488852474,1514.722568341012,1537.76889634113,1559.761516977429,1588.7825848671048,1623.2776899908079,1645.9787531655224,1668.5083713127192,1690.5042505297101
MeOH: 70%,1510.7164671173437,1531.1268792522433,1552.1973689442707,1571.8200832359055,1619.9999999999998,1630.9568940515921,1654.0304537519016,1677.4332079505143,1695.2625960720989
MeOH: 80%,1513.799403054237,1536.4135774698157,1558.8325258023535,1581.1409319238974,1619.9999999999998,1642.5090431949109,1662.585572559193,1683.0242630838445,1697.5646314135372
