,Fraction,Error
0,1.3748180831959446e-08,1.3748180831959446e-08
1,4.981597056528383e-09,4.981597056528383e-09
2,2.1206121998506195e-09,2.1206121998506195e-09
3,4.0549826745878875e-09,4.0549826745878875e-09
4,2.921933995182361e-10,2.921933995182361e-10
5,4.149620097430811e-09,4.149620097430811e-09
6,6.818750259361804e-09,6.818750259361804e-09
7,1.231764755736893e-09,1.231764755736893e-09
8,3.1843754637019763e-09,3.1843754637019763e-09
9,1.746442906014015e-10,1.746442906014015e-10
10,1.2022774244269082e-08,1.2022774244269082e-08
11,3.5132505320897164e-09,3.5132505320897164e-09
12,5.201803165653702e-09,5.201803165653702e-09
13,2.122010819803127e-09,2.122010819803127e-09
14,1.6737479849940767e-09,1.6737479849940767e-09
15,4.322808780508215e-09,4.322808780508215e-09
16,5.868992208058381e-09,5.868992208058381e-09
17,9.024267189520999e-10,9.024267189520999e-10
18,6.4285359712250006e-09,6.4285359712250006e-09
19,1.7755018685843426e-08,1.7755018685843426e-08
20,3.119350717642888e-09,3.119350717642888e-09
21,7.291580961348808e-09,7.291580961348808e-09
22,4.307230114861962e-09,4.307230114861962e-09
23,1.5517318511625845e-09,1.5517318511625845e-09
24,3.1251427001593173e-09,3.1251427001593173e-09
25,8.879871287387413e-08,8.879871287387413e-08
26,4.851448948462686e-09,4.851448948462686e-09
27,2.6655922730681792e-09,2.6655922730681792e-09
28,1.1104368811442219e-08,1.1104368811442219e-08
29,4.493529168678916e-09,4.493529168678916e-09
30,5.77910913733979e-09,5.77910913733979e-09
31,1.2830810858654027e-08,1.2830810858654027e-08
32,4.692261982315314e-09,4.692261982315314e-09
33,2.1681508404777376e-09,2.1681508404777376e-09
34,3.932920944919729e-09,3.932920944919729e-09
35,9.436606441377378e-09,9.436606441377378e-09
36,1.6704388122242456e-09,1.6704388122242456e-09
37,1.381677839505912e-08,1.381677839505912e-08
38,6.073961649943555e-09,6.073961649943555e-09
39,3.5213392623980287e-10,3.5213392623980287e-10
40,3.388295640167436e-09,3.388295640167436e-09
41,8.907756600555306e-09,8.907756600555306e-09
42,1.1120836931284393e-09,1.1120836931284393e-09
43,1.929616377148719e-08,1.929616377148719e-08
44,2.094118848905189e-09,2.094118848905189e-09
45,1.3307228140533797e-08,1.3307228140533797e-08
46,9.062794757400541e-09,9.062794757400541e-09
47,6.997645531920131e-09,6.997645531920131e-09
48,3.6205183305699076e-09,3.6205183305699076e-09
49,9.124500759609477e-09,9.124500759609477e-09
50,2.3941748145485404e-09,2.3941748145485404e-09
51,1.0781484755950987e-09,1.0781484755950987e-09
52,3.232614188966235e-09,3.232614188966235e-09
53,2.030688256061332e-09,2.030688256061332e-09
54,8.72420694401071e-08,8.72420694401071e-08
55,1.1301615786639904e-09,1.1301615786639904e-09
56,1.3498609002169267e-09,1.3498609002169267e-09
57,6.7136763446627304e-09,6.7136763446627304e-09
58,3.0502694689144727e-09,3.0502694689144727e-09
59,2.6884711380981956e-09,2.6884711380981956e-09
60,2.8449769198115382e-09,2.8449769198115382e-09
61,1.6487403468577065e-08,1.6487403468577065e-08
62,5.600641523861232e-09,5.600641523861232e-09
63,7.091237080889832e-10,7.091237080889832e-10
64,2.1836871795807433e-09,2.1836871795807433e-09
65,4.774903101698724e-09,4.774903101698724e-09
66,4.393456151361017e-08,4.393456151361017e-08
67,2.396176927322094e-09,2.396176927322094e-09
68,9.280210074780807e-09,9.280210074780807e-09
69,7.388413883804575e-10,7.388413883804575e-10
70,6.579411423441172e-09,6.579411423441172e-09
71,6.422996361784346e-09,6.422996361784346e-09
72,5.29892301430903e-10,5.29892301430903e-10
73,2.0069645477749934e-09,2.0069645477749934e-09
74,2.1273665219073152e-08,2.1273665219073152e-08
75,3.8186583173323205e-10,3.8186583173323205e-10
76,5.218654504602407e-09,5.218654504602407e-09
77,3.374217132452878e-09,3.374217132452878e-09
78,7.767786382974996e-11,7.767786382974996e-11
79,7.221749840679733e-09,7.221749840679733e-09
80,1.1765699428177374e-08,1.1765699428177374e-08
81,8.173925640045687e-09,8.173925640045687e-09
82,6.291953607108703e-09,6.291953607108703e-09
83,2.6303613137666164e-09,2.6303613137666164e-09
84,1.0707516286791547e-08,1.0707516286791547e-08
85,6.993773928104418e-08,6.993773928104418e-08
86,1.3311817326593474e-09,1.3311817326593474e-09
87,3.4202856505586177e-09,3.4202856505586177e-09
88,3.564971384122904e-09,3.564971384122904e-09
89,3.855076027973998e-09,3.855076027973998e-09
90,4.944885619174188e-09,4.944885619174188e-09
91,8.239405215384869e-10,8.239405215384869e-10
92,8.971965757436963e-09,8.971965757436963e-09
93,2.0210341405994212e-09,2.0210341405994212e-09
94,2.3413273005414304e-09,2.3413273005414304e-09
95,3.648462608053656e-09,3.648462608053656e-09
96,6.934698827652511e-10,6.934698827652511e-10
97,8.17946922591027e-10,8.17946922591027e-10
98,1.322429368221425e-08,1.322429368221425e-08
99,2.5257958530069255e-08,2.5257958530069255e-08
100,4.0731593176087634e-09,4.0731593176087634e-09
101,1.6560648859480264e-09,1.6560648859480264e-09
102,4.128128610807197e-09,4.128128610807197e-09
103,7.772825787292918e-09,7.772825787292918e-09
104,1.188008451020274e-09,1.188008451020274e-09
105,1.3094670880119124e-09,1.3094670880119124e-09
106,1.0502885429049367e-08,1.0502885429049367e-08
107,3.5826969707857194e-09,3.5826969707857194e-09
108,1.3226130127495319e-08,1.3226130127495319e-08
109,4.170569596735202e-09,4.170569596735202e-09
110,3.3574839009941155e-09,3.3574839009941155e-09
111,1.3466923041882164e-09,1.3466923041882164e-09
112,1.9577675736836248e-08,1.9577675736836248e-08
113,3.2522910569680314e-09,3.2522910569680314e-09
114,2.638122868052394e-09,2.638122868052394e-09
115,1.287991806198097e-09,1.287991806198097e-09
116,1.5234541777541586e-08,1.5234541777541586e-08
117,3.156956512825848e-09,3.156956512825848e-09
118,6.011471009852783e-09,6.011471009852783e-09
119,3.7210927171598337e-09,3.7210927171598337e-09
120,2.1095916604771748e-09,2.1095916604771748e-09
121,6.803589504312805e-09,6.803589504312805e-09
122,4.855796117205141e-09,4.855796117205141e-09
123,2.3734033412523797e-09,2.3734033412523797e-09
124,4.102404010948834e-09,4.102404010948834e-09
125,2.3047668378543135e-10,2.3047668378543135e-10
126,5.59982112806224e-09,5.59982112806224e-09
127,4.764865922101101e-09,4.764865922101101e-09
128,4.875114404594895e-09,4.875114404594895e-09
129,1.708560517173795e-08,1.708560517173795e-08
130,4.020742191463912e-09,4.020742191463912e-09
131,4.6042972326600465e-10,4.6042972326600465e-10
132,5.472804886861537e-09,5.472804886861537e-09
133,1.7756832951899299e-09,1.7756832951899299e-09
134,3.614110020485602e-10,3.614110020485602e-10
135,3.445602826083069e-09,3.445602826083069e-09
136,2.5996376384226764e-10,2.5996376384226764e-10
137,7.967305250271064e-09,7.967305250271064e-09
138,5.655838924984657e-09,5.655838924984657e-09
139,7.175044561011533e-09,7.175044561011533e-09
140,2.744401671731002e-08,2.744401671731002e-08
141,2.4426505838221586e-09,2.4426505838221586e-09
142,2.998551827327363e-09,2.998551827327363e-09
143,4.868300548033971e-09,4.868300548033971e-09
144,9.423775893956814e-09,9.423775893956814e-09
145,2.282414105217006e-09,2.282414105217006e-09
146,5.061532931826996e-09,5.061532931826996e-09
147,4.702806836487834e-09,4.702806836487834e-09
148,1.1025377659567527e-08,1.1025377659567527e-08
149,3.933174771100961e-09,3.933174771100961e-09
150,8.704994657845519e-09,8.704994657845519e-09
151,8.162064501248842e-09,8.162064501248842e-09
152,7.50947205887028e-11,7.50947205887028e-11
153,1.3666653871096845e-08,1.3666653871096845e-08
154,1.4196461437054543e-09,1.4196461437054543e-09
155,2.0743850653988302e-09,2.0743850653988302e-09
156,2.9927717058795546e-09,2.9927717058795546e-09
157,4.740507904226206e-09,4.740507904226206e-09
158,2.511823067780732e-09,2.511823067780732e-09
159,5.942024331659096e-10,5.942024331659096e-10
160,2.764626567446454e-09,2.764626567446454e-09
161,6.921394283799715e-09,6.921394283799715e-09
162,1.3568424924075571e-09,1.3568424924075571e-09
163,1.732673100558034e-09,1.732673100558034e-09
164,8.218697893851602e-10,8.218697893851602e-10
165,3.971652348650401e-09,3.971652348650401e-09
166,1.7362436317063384e-09,1.7362436317063384e-09
167,4.620326396308072e-09,4.620326396308072e-09
168,8.163664381353586e-09,8.163664381353586e-09
169,7.420363747765252e-09,7.420363747765252e-09
170,2.739886675938418e-09,2.739886675938418e-09
171,3.9722360276337616e-09,3.9722360276337616e-09
172,2.676417226250626e-08,2.676417226250626e-08
173,8.592126620932335e-10,8.592126620932335e-10
174,1.0705219131803888e-08,1.0705219131803888e-08
175,1.3619729155483378e-08,1.3619729155483378e-08
176,9.484609375986751e-09,9.484609375986751e-09
177,5.6074522596369515e-09,5.6074522596369515e-09
178,4.32817959167406e-09,4.32817959167406e-09
179,5.160846845077601e-09,5.160846845077601e-09
180,6.571422186487398e-09,6.571422186487398e-09
181,8.29357763927993e-09,8.29357763927993e-09
182,6.030988128348442e-09,6.030988128348442e-09
183,1.5048503693633316e-10,1.5048503693633316e-10
184,1.7077486175966225e-08,1.7077486175966225e-08
185,3.1447869289484988e-09,3.1447869289484988e-09
186,3.4177124236166018e-09,3.4177124236166018e-09
187,3.266749349556468e-09,3.266749349556468e-09
188,6.8729459563387685e-09,6.8729459563387685e-09
189,7.721411006952693e-09,7.721411006952693e-09
190,3.0452586121369803e-09,3.0452586121369803e-09
191,4.7630558224443215e-09,4.7630558224443215e-09
192,4.548055208275947e-09,4.548055208275947e-09
193,4.34417614457637e-10,4.34417614457637e-10
194,6.3053407428194266e-09,6.3053407428194266e-09
195,2.0669391851036944e-09,2.0669391851036944e-09
196,6.536823407014344e-09,6.536823407014344e-09
197,3.3905714097677456e-09,3.3905714097677456e-09
198,3.170770552793599e-09,3.170770552793599e-09
199,1.58151408934639e-10,1.58151408934639e-10
200,5.22528779873705e-09,5.22528779873705e-09
201,1.8758893817720617e-10,1.8758893817720617e-10
202,3.322576243451105e-09,3.322576243451105e-09
203,7.151028287213625e-09,7.151028287213625e-09
204,8.137674649428937e-09,8.137674649428937e-09
205,3.5333443509979904e-09,3.5333443509979904e-09
206,5.779141881379212e-09,5.779141881379212e-09
207,5.86976369357085e-09,5.86976369357085e-09
208,5.085037382985366e-09,5.085037382985366e-09
209,3.787368929468605e-09,3.787368929468605e-09
210,2.4688115799542684e-09,2.4688115799542684e-09
211,1.0705959283576892e-09,1.0705959283576892e-09
212,3.3743954950229456e-10,3.3743954950229456e-10
213,1.0730669132629323e-08,1.0730669132629323e-08
214,2.9743176243257864e-09,2.9743176243257864e-09
215,2.511889751512957e-09,2.511889751512957e-09
216,4.059722813573406e-09,4.059722813573406e-09
217,6.30684036618897e-09,6.30684036618897e-09
218,4.751366056446034e-09,4.751366056446034e-09
219,1.8223634655986897e-09,1.8223634655986897e-09
220,2.3677168877429853e-09,2.3677168877429853e-09
221,1.0480738547265715e-09,1.0480738547265715e-09
222,1.4364094013636839e-08,1.4364094013636839e-08
223,1.315340487078938e-08,1.315340487078938e-08
224,2.6026061372622643e-09,2.6026061372622643e-09
225,3.264272214173921e-10,3.264272214173921e-10
226,5.72271222000452e-09,5.72271222000452e-09
227,3.2301591168727024e-09,3.2301591168727024e-09
228,3.6376007555644276e-09,3.6376007555644276e-09
229,5.4914554966315185e-09,5.4914554966315185e-09
230,2.494732183227196e-09,2.494732183227196e-09
231,4.979461189816067e-09,4.979461189816067e-09
232,1.3144536228989257e-09,1.3144536228989257e-09
233,3.1612812376534026e-09,3.1612812376534026e-09
234,6.558622478908197e-11,6.558622478908197e-11
235,8.220509909751474e-10,8.220509909751474e-10
236,1.8618380571723504e-09,1.8618380571723504e-09
237,1.436589677171494e-09,1.436589677171494e-09
238,1.4421492980309714e-09,1.4421492980309714e-09
239,1.3542403934941991e-08,1.3542403934941991e-08
240,9.132667820342937e-09,9.132667820342937e-09
241,8.224918558023469e-09,8.224918558023469e-09
242,5.226736874497581e-09,5.226736874497581e-09
243,2.2939241649790435e-09,2.2939241649790435e-09
244,7.52476599457062e-09,7.52476599457062e-09
245,5.029454216747764e-09,5.029454216747764e-09
246,2.132495649681662e-09,2.132495649681662e-09
247,3.0627014515534194e-09,3.0627014515534194e-09
248,1.7555634448979532e-08,1.7555634448979532e-08
249,3.8091831857744324e-09,3.8091831857744324e-09
250,6.970591967886522e-10,6.970591967886522e-10
251,4.94925349318749e-09,4.94925349318749e-09
252,1.4028875830201024e-08,1.4028875830201024e-08
253,1.8959416645482227e-08,1.8959416645482227e-08
254,9.489840578775341e-09,9.489840578775341e-09
255,7.776860629516978e-09,7.776860629516978e-09
256,3.641297173891863e-09,3.641297173891863e-09
257,4.339169392563153e-09,4.339169392563153e-09
258,7.315291828596307e-10,7.315291828596307e-10
259,8.191663554208374e-10,8.191663554208374e-10
260,1.2418324639727912e-09,1.2418324639727912e-09
261,5.7779491169783255e-09,5.7779491169783255e-09
262,1.740843606345025e-08,1.740843606345025e-08
263,3.967911214606411e-09,3.967911214606411e-09
264,3.037251966891205e-09,3.037251966891205e-09
265,1.9131309243990647e-09,1.9131309243990647e-09
266,5.402687279935393e-09,5.402687279935393e-09
267,7.971063917597667e-09,7.971063917597667e-09
268,2.500014092172644e-08,2.500014092172644e-08
269,9.49162624018787e-09,9.49162624018787e-09
270,1.6991449414231187e-08,1.6991449414231187e-08
271,3.1353171521889894e-09,3.1353171521889894e-09
272,3.0952048978580736e-10,3.0952048978580736e-10
273,1.249058198449002e-09,1.249058198449002e-09
274,1.7206873333226473e-08,1.7206873333226473e-08
275,1.570669499843736e-09,1.570669499843736e-09
276,3.3002342012460347e-09,3.3002342012460347e-09
277,4.8134700011010054e-09,4.8134700011010054e-09
278,9.619401693367492e-10,9.619401693367492e-10
